Method, Number of uses
org/apache/sysds/runtime/instructions/spark/UnarySPInstruction.<init>, 21
org/apache/sysds/runtime/instructions/cp/CPOperand.<init>, 43
org/apache/sysds/runtime/instructions/InstructionUtils.getOpCode, 12
org/apache/sysds/runtime/functionobjects/SwapIndex.getSwapIndexFnObject, 24
org/apache/sysds/runtime/matrix/operators/ReorgOperator.<init>, 32
org/apache/sysds/runtime/instructions/InstructionUtils.getInstructionPartsWithValueType, 135
org/apache/sysds/runtime/instructions/InstructionUtils.checkNumFields, 12
org/apache/sysds/runtime/instructions/cp/CPOperand.split, 21
org/apache/sysds/runtime/instructions/cp/CPOperand.<init>, 115
org/apache/sysds/runtime/DMLRuntimeException.<init>, 836
org/apache/sysds/runtime/instructions/cp/CPOperand.getName, 339
org/apache/sysds/runtime/controlprogram/context/SparkExecutionContext.getBinaryMatrixBlockRDDHandleForVariable, 43
org/apache/sysds/runtime/meta/DataCharacteristics.getRows, 179
org/apache/sysds/runtime/meta/DataCharacteristics.getBlocksize, 153
org/apache/sysds/runtime/instructions/spark/utils/RDDAggregateUtils.mergeByKey, 17
org/apache/sysds/runtime/meta/DataCharacteristics.getCols, 184
org/apache/sysds/runtime/instructions/cp/CPOperand.getDataType, 81
org/apache/sysds/common/Types$DataType.isMatrix, 70
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.getMatrixInput, 50
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.getScalarInput, 75
org/apache/sysds/runtime/instructions/cp/ScalarObject.getLongValue, 57
org/apache/sysds/runtime/instructions/cp/ScalarObject.getBooleanValue, 17
org/apache/sysds/runtime/instructions/spark/functions/IsBlockInRange.<init>, 5
org/apache/sysds/runtime/util/UtilFunctions.computeCellInBlock, 29
org/apache/sysds/runtime/instructions/spark/utils/RDDAggregateUtils.mergeByKey, 5
org/apache/sysds/runtime/controlprogram/context/SparkExecutionContext.setRDDHandleForVariable, 53
org/apache/sysds/runtime/controlprogram/context/SparkExecutionContext.addLineageRDD, 48
org/apache/sysds/runtime/meta/DataCharacteristics.dimsKnown, 50
org/apache/sysds/runtime/meta/DataCharacteristics.set, 32
org/apache/sysds/runtime/meta/DataCharacteristics.nnzKnown, 13
org/apache/sysds/runtime/instructions/cp/CPOperand.getValueType, 32
org/apache/sysds/runtime/instructions/cp/CPOperand.isLiteral, 43
org/apache/sysds/runtime/meta/DataCharacteristics.setNonZeros, 23
org/apache/sysds/runtime/meta/DataCharacteristics.getNonZeros, 67
org/apache/sysds/hops/MultiThreadedHop.<init>, 11
org/apache/sysds/hops/MultiThreadedHop.<init>, 14
org/apache/sysds/hops/Hop.getParent, 124
org/apache/sysds/hops/HopsException.check, 15
org/apache/sysds/hops/HopsException.<init>, 51
org/apache/sysds/hops/ReorgOp.getOp, 20
org/apache/sysds/hops/Hop.constructLops, 60
org/apache/sysds/lops/Lop.getInputs, 12
org/apache/sysds/hops/OptimizerUtils.getConstrainedNumThreads, 42
org/apache/sysds/hops/OptimizerUtils.allowsToFilterEmptyBlockOutputs, 6
org/apache/sysds/hops/Hop.getDataType, 170
org/apache/sysds/common/Types$DataType.isScalar, 51
org/apache/sysds/hops/OptimizerUtils.getSparsity, 43
org/apache/sysds/hops/OptimizerUtils.estimateSizeExactSparsity, 42
org/apache/sysds/hops/MemoTable.getAllInputStats, 14
org/apache/sysds/runtime/meta/MatrixCharacteristics.<init>, 51
org/apache/sysds/hops/OptimizerUtils.isMemoryBasedOptLevel, 18
org/apache/sysds/hops/Hop.areDimsBelowThreshold, 12
org/apache/sysds/hops/Hop.isVector, 7
org/apache/sysds/hops/Hop.getDim2, 178
org/apache/sysds/hops/Hop.getDim1, 173
org/apache/sysds/hops/Hop.getNnz, 53
org/apache/sysds/hops/Hop.dimsKnown, 55
org/apache/sysds/hops/Hop.getLength, 8
org/apache/sysds/hops/Hop.getInput, 369
org/apache/sysds/hops/OptimizerUtils.estimateSize, 25
org/apache/sysds/hops/Hop.getOutputMemEstimate, 14
org/apache/sysds/hops/OptimizerUtils.checkSparkBroadcastMemoryBudget, 5
org/apache/sysds/runtime/util/PRNGenerator.<init>, 5
org/apache/sysds/hops/Hop.getHopID, 129
org/apache/sysds/runtime/instructions/cp/ScalarObject.getStringValue, 40
org/apache/sysds/parser/DMLProgram.splitFunctionKey, 17
org/apache/sysds/runtime/instructions/cp/CPOperand.isMatrix, 20
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.getMatrixObject, 50
org/apache/sysds/common/Types$DataType.isList, 13
org/apache/sysds/common/Builtins.getInternalFName, 5
org/apache/sysds/runtime/controlprogram/context/ExecutionContext.getProgram, 14
org/apache/sysds/common/Builtins.contains, 9
org/apache/sysds/parser/DMLProgram.constructFunctionKey, 23
org/apache/sysds/runtime/controlprogram/Program.getFunctionProgramBlock, 10
org/apache/sysds/runtime/controlprogram/ProgramBlock.isThreadID, 6
